10:21:31.528 [INFO] WIZARD-NEG   negative & edge-case suite
10:22:28.070 [INFO] WIZ-17-N     start
10:22:28.073 [INFO] login        navigating to /login
10:22:37.122 [INFO] login        ok
10:23:03.081 [WARN] WATCHDOG     UF-WIZ-17-N: Step 2 has at least one media upload control exceeded 35s — closing context
10:23:03.993 [WARN] safeRun      server-induced failure, skipping: locator.check: Target page, context or browser has been closed
10:23:05.994 [INFO] WIZ-18-N     start
10:23:05.996 [INFO] login        navigating to /login
10:23:09.360 [INFO] login        ok
10:23:41.000 [WARN] WATCHDOG     UF-WIZ-18-N: Step 3 review reflects company name from step 1 exceeded 35s — closing context
10:23:41.998 [WARN] safeRun      server-induced failure, skipping: locator.check: Target page, context or browser has been closed
10:23:42.014 [INFO] WIZARD-POS   Log file: C:\ideakicks\testing\logs\test-execution.log
10:24:18.981 [INFO] WIZ-02-P     start
10:24:18.984 [INFO] login        navigating to /login
10:24:22.264 [INFO] login        ok
10:24:22.792 [INFO] cookies      dismissed
